qid,rag_answer,baseline_answer,rag_bertscore,baseline_bertscore,rag_grade_0‑10,baseline_grade_0‑10
Q1,"The funding requested for Orion capsules under “Moon to Mars Transportation Systems” is $1.0 billion, as part of the $4.2 billion allocated to support lunar missions.","NASA has requested $872 million specifically for Orion capsules under ""Moon to Mars Transportation Systems.""",0.7504509,0.66662234,7.5,6.67
Q2,The Artemis IV mission is scheduled to launch in the fiscal year 2028 according to the fact sheet.,The fact sheet schedules the launch of Artemis IV in fiscal year 2028.,0.6766049,0.6584531,6.77,6.58
Q3,NASA has set aside $41.2 million for space sustainability to better understand and mitigate the hazard of orbital debris.,NASA has set aside $12 million for space sustainability efforts to address the issue of orbital debris.,0.70259523,0.6586624,7.03,6.59
Q4,"NASA requests $143.5 million for the Office of STEM Engagement to broaden student participation in Science, Technology, Engineering, and Mathematics (STEM).","In the Fiscal Year 2024 budget request, NASA requested $157.8 million for the Office of STEM Engagement to broaden student participation.",0.65256655,0.6463218,6.53,6.46
Q5,"The general annual credit limit a taxpayer can claim under the Energy Efficient Home Improvement Credit (§ 25C) was a lifetime credit limit of $500 through Dec. 31, 2022. This limit was applicable to the taxpayer rather than per property or installation. It is important to review the current regulations and amendments as these limits and rules can be subject to change.","The general annual credit limit for the Energy Efficient Home Improvement Credit under § 25C is $1,200 per taxpayer. Additionally, it allows for up to a $3,200 credit for qualified heat pumps and biomass stoves and boilers.",0.592068,0.6730623,5.92,6.73
Q6,"Two types of residential energy property expenditures that face a $600 per item cap are:

1. Central air conditioners.
2. Natural gas, propane, or oil water heaters.","Two types of residential energy property expenditures that face a $600 per item cap, as defined by IRS guidelines, are:

1. Electric panel upgrades for certain properties.
2. Energy-efficient windows and doors.

Please note that the IRS guidelines may be subject to changes, and it's always a good idea to refer to their official resources or consult a tax professional for the most accurate and up-to-date information.",0.6743418,0.50328135,6.74,5.03
Q7,The specific dollar cap for exterior windows and skylights under § 25C is $600.,"Under the IRS code § 25C, the specific dollar cap for exterior windows and skylights is limited to $600. This cap is part of the total $1,200 annual limit for the section, which includes various other qualifying energy-efficient improvements.",0.7325352,0.63735944,7.33,6.37
Q8,The U.S. statute that provides liability protection for cyber threat information shared with the Cybersecurity and Infrastructure Security Agency (CISA) is cited as CISA 2015.,"The U.S. statute that provides liability protection for cyber threat information shared with the Cybersecurity and Infrastructure Security Agency (CISA) is the Cybersecurity Information Sharing Act of 2015 (CISA), which is part of the broader Cybersecurity Act of 2015. This legislation encourages the sharing of cybersecurity threat information between the private sector and the government by providing liability protection for entities that share information in accordance with its guidelines.",0.60230786,0.57212317,6.02,5.72
Q9,"The Traffic Light Protocol (TLP) marking labels the entire document as ""For Official Use Only (FOUO)"" according to the metadata in the sources provided.",The Traffic Light Protocol (TLP) marking that labels the entire document is typically TLP:RED. TLP:RED means that the information can only be shared within specific trusted individuals and cannot be publicly disclosed or shared outside of that small group.,0.45842975,0.43402106,4.58,4.34
Q10,"Two of the “Enhanced Coordination” defensive actions CISA may take after analyzing shared AI-related threat data are:
1. Sharing information for detection and prevention purposes.
2. Aggregating, validating, analyzing, anonymizing, and enriching the shared data to determine appropriate defensive actions.","Two of the ""Enhanced Coordination"" defensive actions that the Cybersecurity and Infrastructure Security Agency (CISA) may take after analyzing shared AI-related threat data include:

1. Facilitating collaborative efforts and information-sharing between public and private sector organizations to collectively identify, respond to, and mitigate threats.

2. Coordinating with other government agencies, international partners, and industry stakeholders to ensure a unified and effective approach to enhancing AI security and resilience.",0.6396214,0.59947115,6.4,5.99
Q11,"1. Digital euro payments can be made via a physical card, allowing users to fund and defund using cash, which facilitates offline transactions.
2. The offline functionality ensures transactions can occur in locations with limited connectivity.","Two features that make the digital euro usable when the payer is offline include:

1. **Offline Functionality**: The digital euro is designed to work without an internet connection, allowing transactions to be processed even when the payer is offline. This ensures that payments can be made in areas with weak connectivity or during network outages.

2. **Secure and Direct Transactions**: Offline payments with the digital euro are securely processed between devices, with direct communication ensuring that the payment is completed without the need for an online intermediary. This helps maintain the integrity and security of the transaction even when offline.",0.45371154,0.4600556,4.54,4.6
