question,rag_response,non_rag_response
1. How much funding is requested for Orion capsules under “Moon to Mars Transportation Systems”? NASA,"The funding requested for Orion capsules under “Moon to Mars Transportation Systems” is $1.0 billion, as part of the $4.2 billion allocated to support lunar missions.","NASA has requested $872 million specifically for Orion capsules under ""Moon to Mars Transportation Systems."""
2. In what fiscal year does the fact sheet schedule the launch of Artemis IV? NASA,The Artemis IV mission is scheduled to launch in the fiscal year 2028 according to the fact sheet.,The fact sheet schedules the launch of Artemis IV in fiscal year 2028.
3. What dollar amount is set aside for spacesustainability efforts to mitigate orbital debris? NASA,NASA has set aside $41.2 million for space sustainability to better understand and mitigate the hazard of orbital debris.,NASA has set aside $12 million for space sustainability efforts to address the issue of orbital debris.
4. How much does NASA request for the Office of STEM Engagement to broaden student participation? NASA,"NASA requests $143.5 million for the Office of STEM Engagement to broaden student participation in Science, Technology, Engineering, and Mathematics (STEM).","In the Fiscal Year 2024 budget request, NASA requested $157.8 million for the Office of STEM Engagement to broaden student participation."
5. What is the general annual credit limit a taxpayer can claim under the Energy Efficient Home Improvement Credit (§ 25C)? IRS,"The general annual credit limit a taxpayer can claim under the Energy Efficient Home Improvement Credit (§ 25C) was a lifetime credit limit of $500 through Dec. 31, 2022. This limit was applicable to the taxpayer rather than per property or installation. It is important to review the current regulations and amendments as these limits and rules can be subject to change.","The general annual credit limit for the Energy Efficient Home Improvement Credit under § 25C is $1,200 per taxpayer. Additionally, it allows for up to a $3,200 credit for qualified heat pumps and biomass stoves and boilers."
6. Name two types of residential energy property expenditures that face a $600peritem cap. IRS,"Two types of residential energy property expenditures that face a $600 per item cap are:

1. Central air conditioners.
2. Natural gas, propane, or oil water heaters.","Two types of residential energy property expenditures that face a $600 per item cap, as defined by IRS guidelines, are:

1. Electric panel upgrades for certain properties.
2. Energy-efficient windows and doors.

Please note that the IRS guidelines may be subject to changes, and it's always a good idea to refer to their official resources or consult a tax professional for the most accurate and up-to-date information."
7. What is the specific dollar cap for exterior windows and skylights under § 25C? IRS,The specific dollar cap for exterior windows and skylights under § 25C is $600.,"Under the IRS code § 25C, the specific dollar cap for exterior windows and skylights is limited to $600. This cap is part of the total $1,200 annual limit for the section, which includes various other qualifying energy-efficient improvements."
8. Which U.S. statute is cited as providing liability protection for cyberthreat information shared with CISA? CISA,The U.S. statute that provides liability protection for cyber threat information shared with the Cybersecurity and Infrastructure Security Agency (CISA) is cited as CISA 2015.,"The U.S. statute that provides liability protection for cyber threat information shared with the Cybersecurity and Infrastructure Security Agency (CISA) is the Cybersecurity Information Sharing Act of 2015 (CISA), which is part of the broader Cybersecurity Act of 2015. This legislation encourages the sharing of cybersecurity threat information between the private sector and the government by providing liability protection for entities that share information in accordance with its guidelines."
9. What Traffic Light Protocol (TLP) marking labels the entire document? CISA,"The Traffic Light Protocol (TLP) marking labels the entire document as ""For Official Use Only (FOUO)"" according to the metadata in the sources provided.",The Traffic Light Protocol (TLP) marking that labels the entire document is typically TLP:RED. TLP:RED means that the information can only be shared within specific trusted individuals and cannot be publicly disclosed or shared outside of that small group.
10. List two of the “Enhanced Coordination” defensive actions CISA may take after analyzing shared AIrelated threat data. CISA,"Two of the “Enhanced Coordination” defensive actions CISA may take after analyzing shared AI-related threat data are:
1. Sharing information for detection and prevention purposes.
2. Aggregating, validating, analyzing, anonymizing, and enriching the shared data to determine appropriate defensive actions.","Two of the ""Enhanced Coordination"" defensive actions that the Cybersecurity and Infrastructure Security Agency (CISA) may take after analyzing shared AI-related threat data include:

1. Facilitating collaborative efforts and information-sharing between public and private sector organizations to collectively identify, respond to, and mitigate threats.

2. Coordinating with other government agencies, international partners, and industry stakeholders to ensure a unified and effective approach to enhancing AI security and resilience."
11. Give two features that make the digital euro usable when the payer is offline. European Central Bank,"1. Digital euro payments can be made via a physical card, allowing users to fund and defund using cash, which facilitates offline transactions.
2. The offline functionality ensures transactions can occur in locations with limited connectivity.","Two features that make the digital euro usable when the payer is offline include:

1. **Offline Functionality**: The digital euro is designed to work without an internet connection, allowing transactions to be processed even when the payer is offline. This ensures that payments can be made in areas with weak connectivity or during network outages.

2. **Secure and Direct Transactions**: Offline payments with the digital euro are securely processed between devices, with direct communication ensuring that the payment is completed without the need for an online intermediary. This helps maintain the integrity and security of the transaction even when offline."
"12. According to the roadmap slides, what are the start and end dates of the project’s “Preparation phase”? European Central Bank","The project's ""Preparation phase"" is scheduled from November 2023 to October 2025 according to the roadmap slides.","The ""Preparation phase"" of the project, as per the roadmap slides from the European Central Bank, began in July 2021 and ended in September 2023."
"13. As of 10 January 2025, how much total investment have the 31 Tech Hubs attracted? U.S. Economic Development Administration","As of January 10, 2025, the 31 Tech Hubs have secured over $6 billion in investments and other commitments.","By January 10, 2025, the Economic Development Administration will have invested $611.5 million. These resources are aimed at supporting various initiatives in different regions. These regions include areas covering a population of over 104 million people."
14. What is the range—in millions—of implementation funding awarded to each of the six new Tech Hubs? U.S. Economic Development Administration,The implementation funding awarded to each of the six new Tech Hubs ranges between approximately $22 million and $48 million.,The implementation funding awarded to each of the six new Tech Hubs ranges from $30 million to $75 million.
"15. Which Tech Hub focuses on microfluidics technology, and which state does it serve? U.S. Economic Development Administration","The Corvallis Microfluidics Tech Hub (CorMic), led by Oregon State University, focuses on microfluidics technology. It serves the state of Oregon.",The Tech Hub focusing on microfluidics technology is the Western New York Microfluidics Tech Hub. It serves the state of New York.
16. Which earlier OMB memorandum does M2418 explicitly build upon for AI risk management practices? The White House,"The OMB memorandum M-24-18 explicitly builds upon the earlier memorandum M-24-10, which is titled ""Advancing Governance, Innovation, and Risk Management for Agency Use of Artificial Intelligence.""","According to the details about the OMB memorandum M-24-18 related to the implementation of artificial intelligence, M-24-18 explicitly builds upon earlier practices and guidance presented in M-21-06."
17. Name the two AI system categories that receive extra acquisitionguidance attention in M2418. The White House,"The two AI system categories that receive extra acquisition guidance in Memorandum M-2418 are ""generative AI"" and AI systems involving ""open-ended inputs"".","The two AI system categories that receive extra acquisition guidance attention in M-24-18 are:

1. Mission-Critical AI Systems: These are AI systems that are essential for achieving an agency's mission and objectives. They require careful planning and oversight to ensure they are aligned with agency goals and can reliably perform their intended functions.

2. High-Risk AI Systems: These are AI systems that carry significant risks, such as those impacting safety, security, privacy, or other sensitive areas. They necessitate heightened scrutiny and risk management to mitigate potential adverse consequences."
18. What three overarching priorities must agencies pursue when accelerating federal AI adoption under M2521? The White House,"The three overarching priorities that agencies must pursue when accelerating federal AI adoption under M-25-21 are:

1. **Embracing AI Innovation**: Agencies are encouraged to adopt AI in order to become more agile, cost-effective, and efficient. The focus is on leveraging AI to deliver meaningful improvements to public services and enhancing America's leadership in AI innovation.

2. **Maintaining Privacy and Civil Protections**: There is an emphasis on maintaining strong protections for Americans’ privacy, civil rights, and civil liberties even as AI technologies are adopted.

3. **Accountability and Efficiency in AI Use**: The accountability for AI should align with the existing processes for using government IT, avoiding unnecessary bureaucratic delays, and maximizing the use of American-developed AI solutions when seeking new innovations.","Under Memorandum M-21-06, ""Guidance for Regulation of Artificial Intelligence Applications,"" issued by the White House Office of Management and Budget (OMB), federal agencies are encouraged to pursue three overarching priorities when accelerating federal AI adoption:

1. **Delivering Better Outcomes Through AI**: Agencies should focus on harnessing AI to improve outcomes in various missions, enhancing efficiency and effectiveness in operations. 

2. **Cultivating a Strong Technical Foundation**: It is crucial to build and maintain a robust technical infrastructure that supports the safe and effective use of AI technologies. This includes investing in necessary hardware, software, and human resources with appropriate skills and knowledge.

3. **Risk Management and Safety**: Agencies should prioritize the development and implementation of safeguards to manage risks associated with AI, ensuring that AI applications are used responsibly and align with ethical standards and human rights. 

These priorities aim at ensuring that AI adoption in the federal government is done in a way that maximizes benefits while minimizing potential risks and drawbacks."
